# AI0: U_in (V)	# AI1: U_out (V)	
-0.0672429	-7.54228
-0.0773013	-7.54682
-0.0649716	-7.5413
-0.0464771	-7.53157
-0.0305784	-7.51956
-0.0130573	-7.49588
-0.00591911	-7.47576
-0.000403213	-7.4047
0.00543714	8.42207
0.0161445	8.42174
0.0317188	8.42174
0.0476175	8.42142
0.0602716	8.42109
0.07033	8.42077
0.0807129	8.42109
0.0693566	8.42109
0.0554047	8.42109
0.0404793	8.42109
0.0300964	8.42174
0.00446375	8.42142
-0.0341475	-7.52216
-0.0614025	-7.53903
-0.0867107	-7.55006
-0.100014	-7.55493
-0.11721	-7.55947
-0.127918	-7.56304
-0.140896	-7.56629
-0.15355	-7.56856
-0.172694	-7.5731
-0.183077	-7.57505
-0.169125	-7.57245
-0.156471	-7.56985
-0.137652	-7.56564
-0.127593	-7.56337
-0.104556	-7.55688
-0.0831416	-7.54909
-0.0464771	-7.53157
-0.00883929	-7.48517
0.0229582	8.42207
0.0534579	8.42207
0.0872022	8.42142
0.111861	8.42077
0.129383	8.42077
0.144632	8.4198
0.159233	8.4198
0.170589	8.4198
0.181621	8.42012
0.192329	8.41947
0.204009	8.41947
0.214392	8.41947
0.226397	8.41947
0.237429	8.41915
0.225099	8.41915
0.21277	8.41882
0.198818	8.41915
0.181297	8.4198
0.165398	8.4198
0.137494	8.42012
0.107643	8.42077
0.0777927	8.42109
0.0531334	8.42174
0.0242561	8.42142
-0.016302	-7.50107
-0.043557	-7.5293
-0.0601046	-7.53903
-0.0756789	-7.54617
-0.0863863	-7.55006
-0.098067	-7.55396
-0.115264	-7.55947
-0.145114	-7.56791
-0.179832	-7.57505
-0.208709	-7.57991
-0.239533	-7.58478
-0.252836	-7.58673
-0.236289	-7.58446
-0.219417	-7.58154
-0.20222	-7.57894
-0.188268	-7.57634
-0.15355	-7.56985
-0.101961	-7.5559
-0.0451793	-7.53059
0.00543714	8.42207
0.05216	8.42239
0.0881755	8.42142
0.114457	8.42077
0.127111	8.42045
0.139441	8.42109
0.149824	8.42012
0.159882	8.42012
0.181297	8.4198
0.194275	8.4198
0.214068	8.4198
0.23386	8.41882
0.249759	8.41915
0.261764	8.41817
0.272471	8.4185
0.287721	8.41817
0.301349	8.41817
0.32763	8.41753
0.339635	8.41688
0.351965	8.4172
0.362348	8.41655
0.3763	8.41688
0.38863	8.41688
0.40323	8.41655
0.426267	8.41655
0.451251	8.4159
0.470395	8.41558
0.486293	8.41493
0.498623	8.4159
0.511277	8.41558
0.500245	8.41525
0.486618	8.41623
0.474613	8.41558
0.4519	8.41655
0.416209	8.41655
0.372731	8.41753
0.337689	8.41753
0.299726	8.41882
0.258519	8.4185
0.217312	8.4198
0.172212	8.42012
0.132627	8.42109
0.0979095	8.42077
0.0726013	8.42207
0.0599472	8.42174
0.0391814	8.42174
0.020038	8.42239
-0.0201955	-7.50593
-0.061078	-7.53968
-0.104232	-7.55688
-0.138301	-7.56564
-0.158742	-7.57115
-0.169774	-7.57277
-0.179832	-7.57505
-0.1688	-7.5731
-0.145439	-7.56758
-0.128891	-7.56401
-0.100987	-7.5559
-0.052642	-7.53579
0.01582	8.42272
0.0690322	8.42109
0.124191	8.42142
0.196871	8.41947
0.27312	8.41882
0.344178	8.41753
0.397715	8.4172
0.442491	8.4159
0.470719	8.41623
0.488889	8.41525
0.508681	8.4159
0.525878	8.41461
0.54275	8.41558
0.556702	8.41493
0.579415	8.41525
0.594989	8.41428
0.61251	8.41493
0.623542	8.41396
0.6336	8.41396
0.644632	8.41493
0.633276	8.41493
0.620622	8.41461
0.605372	8.41525
0.575521	8.41525
0.532367	8.41623
0.48532	8.4159
0.448331	8.41655
0.419129	8.41655
0.389278	8.41753
0.365593	8.41688
0.344178	8.41785
0.314976	8.41817
0.274094	8.41947
0.234184	8.41947
0.185839	8.42045
0.153068	8.42077
0.131005	8.42142
0.115755	8.42077
0.105697	8.42174
0.0839575	8.42207
0.065463	8.42142
0.0417771	8.42239
0.011602	8.42239
-0.0208445	-7.50918
-0.0442059	-7.52962
-0.0578334	-7.53806
-0.0691897	-7.54422
-0.079897	-7.54844
-0.103258	-7.5572
-0.12954	-7.56401
-0.14479	-7.56856
-0.158093	-7.57115
-0.168151	-7.57277
-0.178859	-7.57602
-0.190215	-7.57699
-0.21747	-7.58251
-0.237911	-7.5851
-0.250241	-7.58673
-0.260299	-7.589
-0.271655	-7.59062
-0.257379	-7.58835
-0.244725	-7.5864
-0.226555	-7.58381
-0.211305	-7.58056
-0.179508	-7.5757
-0.136678	-7.56596
-0.120131	-7.56142
-0.0854129	-7.55071
-0.0665939	-7.54357
-0.0500463	-7.53416
-0.0341475	-7.5241
-0.0179243	-7.50529
0.00057018	-5.93032
0.0164689	8.42304
0.0320432	8.42174
0.0456707	8.42337
0.0635163	8.42142
0.0758459	8.42207
0.0859043	8.42109
0.101154	8.42045
